subject,theory,explo_overlap,trial,labelled,looking_time
29,CR,0.375,0,no_label,30
29,CR,0.375,0,label,33
29,CR,0.375,1,no_label,28
29,CR,0.375,1,label,30
29,CR,0.375,2,no_label,26
29,CR,0.375,2,label,27
29,CR,0.375,3,no_label,23
29,CR,0.375,3,label,24
29,CR,0.375,4,no_label,21
29,CR,0.375,4,label,22
29,CR,0.375,5,no_label,18
29,CR,0.375,5,label,19
29,CR,0.375,6,no_label,16
29,CR,0.375,6,label,16
29,CR,0.375,7,no_label,14
29,CR,0.375,7,label,14
30,LaF,0.375,0,label,30
30,LaF,0.375,0,no_label,26
30,LaF,0.375,1,label,28
30,LaF,0.375,1,no_label,24
30,LaF,0.375,2,label,25
30,LaF,0.375,2,no_label,22
30,LaF,0.375,3,label,22
30,LaF,0.375,3,no_label,19
30,LaF,0.375,4,label,20
30,LaF,0.375,4,no_label,17
30,LaF,0.375,5,label,17
30,LaF,0.375,5,no_label,15
30,LaF,0.375,6,label,15
30,LaF,0.375,6,no_label,13
30,LaF,0.375,7,label,13
30,LaF,0.375,7,no_label,11
31,CR,0.375,0,label,30
31,CR,0.375,0,no_label,31
31,CR,0.375,1,label,30
31,CR,0.375,1,no_label,28
31,CR,0.375,2,label,27
31,CR,0.375,2,no_label,25
31,CR,0.375,3,label,24
31,CR,0.375,3,no_label,22
31,CR,0.375,4,label,21
31,CR,0.375,4,no_label,19
31,CR,0.375,5,label,18
31,CR,0.375,5,no_label,16
31,CR,0.375,6,label,15
31,CR,0.375,6,no_label,13
31,CR,0.375,7,label,12
31,CR,0.375,7,no_label,10
32,LaF,0.5,0,no_label,31
32,LaF,0.5,0,label,30
32,LaF,0.5,1,no_label,29
32,LaF,0.5,1,label,27
32,LaF,0.5,2,no_label,26
32,LaF,0.5,2,label,25
32,LaF,0.5,3,no_label,24
32,LaF,0.5,3,label,22
32,LaF,0.5,4,no_label,21
32,LaF,0.5,4,label,20
32,LaF,0.5,5,no_label,19
32,LaF,0.5,5,label,17
32,LaF,0.5,6,no_label,16
32,LaF,0.5,6,label,15
32,LaF,0.5,7,no_label,14
32,LaF,0.5,7,label,13
33,CR,0.5,0,no_label,30
33,CR,0.5,0,label,29
33,CR,0.5,1,no_label,26
33,CR,0.5,1,label,26
33,CR,0.5,2,no_label,23
33,CR,0.5,2,label,24
33,CR,0.5,3,no_label,21
33,CR,0.5,3,label,21
33,CR,0.5,4,no_label,19
33,CR,0.5,4,label,19
33,CR,0.5,5,no_label,16
33,CR,0.5,5,label,16
33,CR,0.5,6,no_label,14
33,CR,0.5,6,label,14
33,CR,0.5,7,no_label,12
33,CR,0.5,7,label,11
34,LaF,0.5,0,label,30
34,LaF,0.5,0,no_label,30
34,LaF,0.5,1,label,29
34,LaF,0.5,1,no_label,28
34,LaF,0.5,2,label,26
34,LaF,0.5,2,no_label,25
34,LaF,0.5,3,label,24
34,LaF,0.5,3,no_label,23
34,LaF,0.5,4,label,21
34,LaF,0.5,4,no_label,20
34,LaF,0.5,5,label,19
34,LaF,0.5,5,no_label,18
34,LaF,0.5,6,label,16
34,LaF,0.5,6,no_label,15
34,LaF,0.5,7,label,14
34,LaF,0.5,7,no_label,13
35,CR,0.5,0,label,29
35,CR,0.5,0,no_label,29
35,CR,0.5,1,label,30
35,CR,0.5,1,no_label,27
35,CR,0.5,2,label,27
35,CR,0.5,2,no_label,24
35,CR,0.5,3,label,25
35,CR,0.5,3,no_label,22
35,CR,0.5,4,label,22
35,CR,0.5,4,no_label,19
35,CR,0.5,5,label,20
35,CR,0.5,5,no_label,17
35,CR,0.5,6,label,17
35,CR,0.5,6,no_label,15
35,CR,0.5,7,label,15
35,CR,0.5,7,no_label,13
36,LaF,0.5,0,no_label,30
36,LaF,0.5,0,label,32
36,LaF,0.5,1,no_label,27
36,LaF,0.5,1,label,28
36,LaF,0.5,2,no_label,25
36,LaF,0.5,2,label,25
36,LaF,0.5,3,no_label,22
36,LaF,0.5,3,label,22
36,LaF,0.5,4,no_label,19
36,LaF,0.5,4,label,19
36,LaF,0.5,5,no_label,17
36,LaF,0.5,5,label,17
36,LaF,0.5,6,no_label,14
36,LaF,0.5,6,label,14
36,LaF,0.5,7,no_label,12
36,LaF,0.5,7,label,11
37,CR,0.5,0,no_label,33
37,CR,0.5,0,label,30
37,CR,0.5,1,no_label,28
37,CR,0.5,1,label,28
37,CR,0.5,2,no_label,26
37,CR,0.5,2,label,25
37,CR,0.5,3,no_label,23
37,CR,0.5,3,label,23
37,CR,0.5,4,no_label,21
37,CR,0.5,4,label,21
37,CR,0.5,5,no_label,19
37,CR,0.5,5,label,18
