subject,model,explo_overlap,trial,labelled,looking_time
31,LaF,0.625,6,label,24
31,LaF,0.625,6,no_label,23
31,LaF,0.625,7,label,22
31,LaF,0.625,7,no_label,21
32,LaF,0.625,0,no_label,37
32,LaF,0.625,0,label,34
32,LaF,0.625,1,no_label,33
32,LaF,0.625,1,label,32
32,LaF,0.625,2,no_label,31
32,LaF,0.625,2,label,30
32,LaF,0.625,3,no_label,29
32,LaF,0.625,3,label,28
32,LaF,0.625,4,no_label,27
32,LaF,0.625,4,label,26
32,LaF,0.625,5,no_label,25
32,LaF,0.625,5,label,24
32,LaF,0.625,6,no_label,23
32,LaF,0.625,6,label,22
32,LaF,0.625,7,no_label,21
32,LaF,0.625,7,label,20
33,LaF,0.75,0,label,33
33,LaF,0.75,0,no_label,32
33,LaF,0.75,1,label,30
33,LaF,0.75,1,no_label,31
33,LaF,0.75,2,label,29
33,LaF,0.75,2,no_label,29
33,LaF,0.75,3,label,27
33,LaF,0.75,3,no_label,28
33,LaF,0.75,4,label,26
33,LaF,0.75,4,no_label,26
33,LaF,0.75,5,label,25
33,LaF,0.75,5,no_label,25
33,LaF,0.75,6,label,23
33,LaF,0.75,6,no_label,24
33,LaF,0.75,7,label,22
33,LaF,0.75,7,no_label,22
34,LaF,0.75,0,no_label,39
34,LaF,0.75,0,label,31
34,LaF,0.75,1,no_label,35
34,LaF,0.75,1,label,29
34,LaF,0.75,2,no_label,34
34,LaF,0.75,2,label,28
34,LaF,0.75,3,no_label,32
34,LaF,0.75,3,label,26
34,LaF,0.75,4,no_label,30
34,LaF,0.75,4,label,25
34,LaF,0.75,5,no_label,28
34,LaF,0.75,5,label,23
34,LaF,0.75,6,no_label,26
34,LaF,0.75,6,label,21
34,LaF,0.75,7,no_label,24
34,LaF,0.75,7,label,20
35,LaF,0.75,0,label,35
35,LaF,0.75,0,no_label,33
35,LaF,0.75,1,label,33
35,LaF,0.75,1,no_label,33
35,LaF,0.75,2,label,32
35,LaF,0.75,2,no_label,32
35,LaF,0.75,3,label,30
35,LaF,0.75,3,no_label,31
35,LaF,0.75,4,label,29
35,LaF,0.75,4,no_label,30
35,LaF,0.75,5,label,27
35,LaF,0.75,5,no_label,28
