"subject","theory","model","explo_overlap","trial","labelled","looking_time","experiment","fit"
23,"Compound Representations","DMN","0.25",6,"label",25,"SingleObject",25.2305429638276
23,"Compound Representations","DMN","0.25",6,"no_label",21,"SingleObject",24.9860032923678
23,"Compound Representations","DMN","0.25",7,"label",21,"SingleObject",22.5392656865225
23,"Compound Representations","DMN","0.25",7,"no_label",18,"SingleObject",22.2539694031527
25,"Labels as Features","DMN","0.25",0,"no_label",38,"SingleObject",40.2086975040602
25,"Labels as Features","DMN","0.25",0,"label",37,"SingleObject",41.0915899343108
25,"Labels as Features","DMN","0.25",1,"no_label",36,"SingleObject",37.4766636148451
25,"Labels as Features","DMN","0.25",1,"label",34,"SingleObject",38.4003126570057
25,"Labels as Features","DMN","0.25",2,"no_label",33,"SingleObject",34.74462972563
25,"Labels as Features","DMN","0.25",2,"label",31,"SingleObject",35.7090353797006
25,"Labels as Features","DMN","0.25",3,"no_label",31,"SingleObject",32.0125958364149
25,"Labels as Features","DMN","0.25",3,"label",29,"SingleObject",33.0177581023954
25,"Labels as Features","DMN","0.25",4,"no_label",29,"SingleObject",29.2805619471999
25,"Labels as Features","DMN","0.25",4,"label",27,"SingleObject",30.3264808250903
25,"Labels as Features","DMN","0.25",5,"no_label",27,"SingleObject",26.5485280579848
25,"Labels as Features","DMN","0.25",5,"label",24,"SingleObject",27.6352035477852
25,"Labels as Features","DMN","0.25",6,"no_label",24,"SingleObject",23.8164941687697
25,"Labels as Features","DMN","0.25",6,"label",22,"SingleObject",24.9439262704801
25,"Labels as Features","DMN","0.25",7,"no_label",22,"SingleObject",21.0844602795546
25,"Labels as Features","DMN","0.25",7,"label",20,"SingleObject",22.252648993175
27,"Compound Representations","DMN","0.25",0,"no_label",39,"SingleObject",41.3782066276583
27,"Compound Representations","DMN","0.25",0,"label",38,"SingleObject",41.3782066276583
27,"Compound Representations","DMN","0.25",1,"no_label",37,"SingleObject",38.6461727384432
27,"Compound Representations","DMN","0.25",1,"label",36,"SingleObject",38.6869293503532
27,"Compound Representations","DMN","0.25",2,"no_label",35,"SingleObject",35.9141388492281
27,"Compound Representations","DMN","0.25",2,"label",34,"SingleObject",35.9956520730481
27,"Compound Representations","DMN","0.25",3,"no_label",33,"SingleObject",33.182104960013
27,"Compound Representations","DMN","0.25",3,"label",32,"SingleObject",33.304374795743
27,"Compound Representations","DMN","0.25",4,"no_label",31,"SingleObject",30.450071070798
27,"Compound Representations","DMN","0.25",4,"label",30,"SingleObject",30.6130975184379
27,"Compound Representations","DMN","0.25",5,"no_label",29,"SingleObject",27.7180371815829
27,"Compound Representations","DMN","0.25",5,"label",28,"SingleObject",27.9218202411327
27,"Compound Representations","DMN","0.25",6,"no_label",27,"SingleObject",24.9860032923678
27,"Compound Representations","DMN","0.25",6,"label",26,"SingleObject",25.2305429638276
27,"Compound Representations","DMN","0.25",7,"no_label",25,"SingleObject",22.2539694031527
27,"Compound Representations","DMN","0.25",7,"label",24,"SingleObject",22.5392656865225
29,"Labels as Features","DMN","0.25",0,"label",39,"SingleObject",41.0915899343108
29,"Labels as Features","DMN","0.25",0,"no_label",40,"SingleObject",40.2086975040602
29,"Labels as Features","DMN","0.25",1,"label",34,"SingleObject",38.4003126570057
29,"Labels as Features","DMN","0.25",1,"no_label",39,"SingleObject",37.4766636148451
29,"Labels as Features","DMN","0.25",2,"label",32,"SingleObject",35.7090353797006
29,"Labels as Features","DMN","0.25",2,"no_label",36,"SingleObject",34.74462972563
29,"Labels as Features","DMN","0.25",3,"label",29,"SingleObject",33.0177581023954
29,"Labels as Features","DMN","0.25",3,"no_label",33,"SingleObject",32.0125958364149
29,"Labels as Features","DMN","0.25",4,"label",27,"SingleObject",30.3264808250903
29,"Labels as Features","DMN","0.25",4,"no_label",30,"SingleObject",29.2805619471999
29,"Labels as Features","DMN","0.25",5,"label",25,"SingleObject",27.6352035477852
29,"Labels as Features","DMN","0.25",5,"no_label",28,"SingleObject",26.5485280579848
