"subject","theory","step","dist_type","mu"
1,"LaF_treat_missing",1400,"between",1.56305187004566
1,"LaF_treat_missing",1400,"r_labelled",1
1,"LaF_treat_missing",1400,"r_unlabelled",1
1,"LaF_treat_missing",1500,"labelled",0.191722396394624
1,"LaF_treat_missing",1500,"unlabelled",0.227732706808841
1,"LaF_treat_missing",1500,"between",1.5660578827974
1,"LaF_treat_missing",1500,"r_labelled",1
1,"LaF_treat_missing",1500,"r_unlabelled",1
1,"LaF_treat_missing",1600,"labelled",0.194671799754846
1,"LaF_treat_missing",1600,"unlabelled",0.232325598666889
1,"LaF_treat_missing",1600,"between",1.56770080420918
1,"LaF_treat_missing",1600,"r_labelled",1
1,"LaF_treat_missing",1600,"r_unlabelled",1
1,"LaF_treat_missing",1700,"labelled",0.197832310450657
1,"LaF_treat_missing",1700,"unlabelled",0.237069736737597
1,"LaF_treat_missing",1700,"between",1.5684227763752
1,"LaF_treat_missing",1700,"r_labelled",1
1,"LaF_treat_missing",1700,"r_unlabelled",1
1,"LaF_treat_missing",1800,"labelled",0.201183132639653
1,"LaF_treat_missing",1800,"unlabelled",0.241962032411384
1,"LaF_treat_missing",1800,"between",1.56852138157317
1,"LaF_treat_missing",1800,"r_labelled",1
1,"LaF_treat_missing",1800,"r_unlabelled",1
2,"CR",0,"labelled",0.250472527614878
2,"CR",0,"unlabelled",0.234479241491058
2,"CR",0,"between",1.63288404513339
2,"CR",0,"r_labelled",2
2,"CR",0,"r_unlabelled",2
2,"CR",100,"labelled",0.163333078123604
2,"CR",100,"unlabelled",0.175291286986243
2,"CR",100,"between",0.332858496587027
2,"CR",100,"r_labelled",2
2,"CR",100,"r_unlabelled",2
2,"CR",200,"labelled",0.185200346562602
2,"CR",200,"unlabelled",0.187477838895794
2,"CR",200,"between",0.461223991107316
2,"CR",200,"r_labelled",2
2,"CR",200,"r_unlabelled",2
2,"CR",300,"labelled",0.196535208873736
2,"CR",300,"unlabelled",0.196022355164026
2,"CR",300,"between",0.643989318194247
2,"CR",300,"r_labelled",2
2,"CR",300,"r_unlabelled",2
2,"CR",400,"labelled",0.204991347733823
2,"CR",400,"unlabelled",0.205439635187415
2,"CR",400,"between",0.847524219768228
2,"CR",400,"r_labelled",2
2,"CR",400,"r_unlabelled",2
2,"CR",500,"labelled",0.212688248786676
2,"CR",500,"unlabelled",0.213006682891774
2,"CR",500,"between",1.04453057693061
2,"CR",500,"r_labelled",2
2,"CR",500,"r_unlabelled",2
2,"CR",600,"labelled",0.218697698208362
2,"CR",600,"unlabelled",0.217488197198273
2,"CR",600,"between",1.21421081826543
2,"CR",600,"r_labelled",2
2,"CR",600,"r_unlabelled",2
2,"CR",700,"labelled",0.222943796756926
2,"CR",700,"unlabelled",0.21971298948303
2,"CR",700,"between",1.34693170660584
2,"CR",700,"r_labelled",2
2,"CR",700,"r_unlabelled",2
2,"CR",800,"labelled",0.225937598796342
2,"CR",800,"unlabelled",0.22080584757133
2,"CR",800,"between",1.44360804136633
