subject,model,explo_overlap,trial,labelled,looking_time
35,LaF,0.75,2,no_label,49
35,LaF,0.75,3,label,57
35,LaF,0.75,3,no_label,53
35,LaF,0.75,4,label,60
35,LaF,0.75,4,no_label,52
35,LaF,0.75,5,label,59
35,LaF,0.75,5,no_label,49
35,LaF,0.75,6,label,55
35,LaF,0.75,6,no_label,45
35,LaF,0.75,7,label,50
35,LaF,0.75,7,no_label,40
36,LaF,0.75,0,no_label,47
36,LaF,0.75,0,label,38
36,LaF,0.75,1,no_label,40
36,LaF,0.75,1,label,42
36,LaF,0.75,2,no_label,44
36,LaF,0.75,2,label,49
36,LaF,0.75,3,no_label,45
36,LaF,0.75,3,label,52
36,LaF,0.75,4,no_label,43
36,LaF,0.75,4,label,51
36,LaF,0.75,5,no_label,40
36,LaF,0.75,5,label,47
36,LaF,0.75,6,no_label,36
36,LaF,0.75,6,label,43
36,LaF,0.75,7,no_label,32
36,LaF,0.75,7,label,37
37,LaF,0.75,0,label,100
37,LaF,0.75,0,no_label,55
37,LaF,0.75,1,label,79
37,LaF,0.75,1,no_label,51
37,LaF,0.75,2,label,84
37,LaF,0.75,2,no_label,54
37,LaF,0.75,3,label,94
37,LaF,0.75,3,no_label,56
37,LaF,0.75,4,label,100
37,LaF,0.75,4,no_label,56
37,LaF,0.75,5,label,100
37,LaF,0.75,5,no_label,54
37,LaF,0.75,6,label,98
37,LaF,0.75,6,no_label,50
37,LaF,0.75,7,label,91
37,LaF,0.75,7,no_label,46
38,LaF,0.75,0,no_label,56
38,LaF,0.75,0,label,57
38,LaF,0.75,1,no_label,51
38,LaF,0.75,1,label,61
38,LaF,0.75,2,no_label,59
38,LaF,0.75,2,label,72
38,LaF,0.75,3,no_label,67
38,LaF,0.75,3,label,82
38,LaF,0.75,4,no_label,71
38,LaF,0.75,4,label,86
38,LaF,0.75,5,no_label,70
38,LaF,0.75,5,label,84
38,LaF,0.75,6,no_label,67
38,LaF,0.75,6,label,79
38,LaF,0.75,7,no_label,61
38,LaF,0.75,7,label,72
39,LaF,0.75,0,label,50
39,LaF,0.75,0,no_label,38
39,LaF,0.75,1,label,42
39,LaF,0.75,1,no_label,40
39,LaF,0.75,2,label,49
39,LaF,0.75,2,no_label,47
39,LaF,0.75,3,label,54
39,LaF,0.75,3,no_label,52
39,LaF,0.75,4,label,56
39,LaF,0.75,4,no_label,53
39,LaF,0.75,5,label,54
39,LaF,0.75,5,no_label,50
39,LaF,0.75,6,label,51
39,LaF,0.75,6,no_label,46
39,LaF,0.75,7,label,46
39,LaF,0.75,7,no_label,42
40,LaF,0.75,0,no_label,66
40,LaF,0.75,0,label,87
40,LaF,0.75,1,no_label,56
40,LaF,0.75,1,label,81
40,LaF,0.75,2,no_label,65
40,LaF,0.75,2,label,93
40,LaF,0.75,3,no_label,73
40,LaF,0.75,3,label,100
40,LaF,0.75,4,no_label,77
40,LaF,0.75,4,label,100
40,LaF,0.75,5,no_label,76
40,LaF,0.75,5,label,100
40,LaF,0.75,6,no_label,71
40,LaF,0.75,6,label,100
40,LaF,0.75,7,no_label,64
40,LaF,0.75,7,label,92
-11,CR,0.375,0,label,59
-11,CR,0.375,0,no_label,43
-11,CR,0.375,1,label,49
-11,CR,0.375,1,no_label,53
-11,CR,0.375,2,label,51
-11,CR,0.375,2,no_label,66
-11,CR,0.375,3,label,53
-11,CR,0.375,3,no_label,75
-11,CR,0.375,4,label,52
-11,CR,0.375,4,no_label,78
-11,CR,0.375,5,label,50
-11,CR,0.375,5,no_label,75
-11,CR,0.375,6,label,46
-11,CR,0.375,6,no_label,69
-11,CR,0.375,7,label,41
-11,CR,0.375,7,no_label,61
-40,CR,0.75,0,no_label,42
-40,CR,0.75,0,label,52
-40,CR,0.75,1,no_label,40
-40,CR,0.75,1,label,46
-40,CR,0.75,2,no_label,43
-40,CR,0.75,2,label,47
-40,CR,0.75,3,no_label,45
-40,CR,0.75,3,label,49
-40,CR,0.75,4,no_label,45
-40,CR,0.75,4,label,49
-40,CR,0.75,5,no_label,43
-40,CR,0.75,5,label,47
-40,CR,0.75,6,no_label,41
-40,CR,0.75,6,label,44
-40,CR,0.75,7,no_label,37
-40,CR,0.75,7,label,40
-39,CR,0.75,0,label,54
-39,CR,0.75,0,no_label,53
-39,CR,0.75,1,label,47
-39,CR,0.75,1,no_label,55
-39,CR,0.75,2,label,54
-39,CR,0.75,2,no_label,66
-39,CR,0.75,3,label,59
-39,CR,0.75,3,no_label,71
-39,CR,0.75,4,label,58
-39,CR,0.75,4,no_label,69
-39,CR,0.75,5,label,55
-39,CR,0.75,5,no_label,64
-39,CR,0.75,6,label,50
-39,CR,0.75,6,no_label,58
-39,CR,0.75,7,label,44
-39,CR,0.75,7,no_label,50
-38,CR,0.75,0,no_label,54
-38,CR,0.75,0,label,53
-38,CR,0.75,1,no_label,57
-38,CR,0.75,1,label,58
-38,CR,0.75,2,no_label,67
-38,CR,0.75,2,label,66
-38,CR,0.75,3,no_label,75
-38,CR,0.75,3,label,69
-38,CR,0.75,4,no_label,76
-38,CR,0.75,4,label,68
-38,CR,0.75,5,no_label,72
-38,CR,0.75,5,label,63
-38,CR,0.75,6,no_label,66
-38,CR,0.75,6,label,57
-38,CR,0.75,7,no_label,59
-38,CR,0.75,7,label,50
-37,CR,0.75,0,label,92
-37,CR,0.75,0,no_label,38
-37,CR,0.75,1,label,71
-37,CR,0.75,1,no_label,38
-37,CR,0.75,2,label,83
-37,CR,0.75,2,no_label,43
-37,CR,0.75,3,label,93
-37,CR,0.75,3,no_label,45
-37,CR,0.75,4,label,96
-37,CR,0.75,4,no_label,44
-37,CR,0.75,5,label,92
-37,CR,0.75,5,no_label,41
-37,CR,0.75,6,label,84
-37,CR,0.75,6,no_label,37
-37,CR,0.75,7,label,75
-37,CR,0.75,7,no_label,32
-36,CR,0.75,0,no_label,57
-36,CR,0.75,0,label,71
-36,CR,0.75,1,no_label,45
-36,CR,0.75,1,label,75
-36,CR,0.75,2,no_label,49
-36,CR,0.75,2,label,88
-36,CR,0.75,3,no_label,51
-36,CR,0.75,3,label,99
-36,CR,0.75,4,no_label,50
-36,CR,0.75,4,label,100
-36,CR,0.75,5,no_label,47
-36,CR,0.75,5,label,99
-36,CR,0.75,6,no_label,44
-36,CR,0.75,6,label,91
-36,CR,0.75,7,no_label,39
-36,CR,0.75,7,label,82
-35,CR,0.75,0,label,100
-35,CR,0.75,0,no_label,38
-35,CR,0.75,1,label,64
-35,CR,0.75,1,no_label,47
-35,CR,0.75,2,label,67
-35,CR,0.75,2,no_label,54
-35,CR,0.75,3,label,78
-35,CR,0.75,3,no_label,57
-35,CR,0.75,4,label,86
-35,CR,0.75,4,no_label,55
-35,CR,0.75,5,label,87
-35,CR,0.75,5,no_label,52
-35,CR,0.75,6,label,82
-35,CR,0.75,6,no_label,47
-35,CR,0.75,7,label,74
-35,CR,0.75,7,no_label,42
-34,CR,0.75,0,no_label,46
-34,CR,0.75,0,label,99
-34,CR,0.75,1,no_label,37
-34,CR,0.75,1,label,72
-34,CR,0.75,2,no_label,41
-34,CR,0.75,2,label,81
-34,CR,0.75,3,no_label,41
-34,CR,0.75,3,label,95
-34,CR,0.75,4,no_label,40
-34,CR,0.75,4,label,100
-34,CR,0.75,5,no_label,38
-34,CR,0.75,5,label,99
-34,CR,0.75,6,no_label,35
-34,CR,0.75,6,label,93
-34,CR,0.75,7,no_label,31
-34,CR,0.75,7,label,84
-33,CR,0.75,0,label,41
-33,CR,0.75,0,no_label,79
-33,CR,0.75,1,label,38
-33,CR,0.75,1,no_label,89
-33,CR,0.75,2,label,38
-33,CR,0.75,2,no_label,100
-33,CR,0.75,3,label,39
-33,CR,0.75,3,no_label,100
-33,CR,0.75,4,label,38
-33,CR,0.75,4,no_label,100
-33,CR,0.75,5,label,36
-33,CR,0.75,5,no_label,100
-33,CR,0.75,6,label,32
-33,CR,0.75,6,no_label,100
-33,CR,0.75,7,label,29
-33,CR,0.75,7,no_label,94
-32,CR,0.625,0,no_label,42
-32,CR,0.625,0,label,52
-32,CR,0.625,1,no_label,40
-32,CR,0.625,1,label,46
-32,CR,0.625,2,no_label,43
-32,CR,0.625,2,label,47
-32,CR,0.625,3,no_label,45
-32,CR,0.625,3,label,49
-32,CR,0.625,4,no_label,45
-32,CR,0.625,4,label,49
-32,CR,0.625,5,no_label,43
-32,CR,0.625,5,label,47
-32,CR,0.625,6,no_label,41
-32,CR,0.625,6,label,44
-32,CR,0.625,7,no_label,37
-32,CR,0.625,7,label,40
-31,CR,0.625,0,label,54
-31,CR,0.625,0,no_label,53
-31,CR,0.625,1,label,47
-31,CR,0.625,1,no_label,55
-31,CR,0.625,2,label,54
-31,CR,0.625,2,no_label,66
-31,CR,0.625,3,label,59
-31,CR,0.625,3,no_label,71
-31,CR,0.625,4,label,58
-31,CR,0.625,4,no_label,69
-31,CR,0.625,5,label,55
-31,CR,0.625,5,no_label,64
-31,CR,0.625,6,label,50
-31,CR,0.625,6,no_label,58
-31,CR,0.625,7,label,44
-31,CR,0.625,7,no_label,50
-30,CR,0.625,0,no_label,54
