"subject","theory","model","explo_overlap","trial","labelled","looking_time","experiment","fit"
671,"Compound Representations","DMN","0",4,"label",30,"Category",32.0311860632269
671,"Compound Representations","DMN","0",4,"no_label",34,"Category",31.0750308888885
671,"Compound Representations","DMN","0",5,"label",27,"Category",29.5306805608739
671,"Compound Representations","DMN","0",5,"no_label",30,"Category",28.3354865929508
671,"Compound Representations","DMN","0",6,"label",24,"Category",27.0301750585208
671,"Compound Representations","DMN","0",6,"no_label",27,"Category",25.5959422970131
671,"Compound Representations","DMN","0",7,"label",21,"Category",24.5296695561678
671,"Compound Representations","DMN","0",7,"no_label",24,"Category",22.8563980010755
673,"Labels as Features","DMN","0",0,"no_label",40,"Category",41.3313377769986
673,"Labels as Features","DMN","0",0,"label",37,"Category",42.2545941603125
673,"Labels as Features","DMN","0",1,"no_label",40,"Category",38.5917934810609
673,"Labels as Features","DMN","0",1,"label",35,"Category",39.7540886579594
673,"Labels as Features","DMN","0",2,"no_label",40,"Category",35.8522491851233
673,"Labels as Features","DMN","0",2,"label",32,"Category",37.2535831556064
673,"Labels as Features","DMN","0",3,"no_label",40,"Category",33.1127048891856
673,"Labels as Features","DMN","0",3,"label",30,"Category",34.7530776532533
673,"Labels as Features","DMN","0",4,"no_label",39,"Category",30.3731605932479
673,"Labels as Features","DMN","0",4,"label",28,"Category",32.2525721509003
673,"Labels as Features","DMN","0",5,"no_label",35,"Category",27.6336162973103
673,"Labels as Features","DMN","0",5,"label",25,"Category",29.7520666485472
673,"Labels as Features","DMN","0",6,"no_label",32,"Category",24.8940720013726
673,"Labels as Features","DMN","0",6,"label",23,"Category",27.2515611461942
673,"Labels as Features","DMN","0",7,"no_label",29,"Category",22.1545277054349
673,"Labels as Features","DMN","0",7,"label",20,"Category",24.7510556438411
675,"Compound Representations","DMN","0",0,"no_label",40,"Category",42.0332080726391
675,"Compound Representations","DMN","0",0,"label",40,"Category",42.0332080726391
675,"Compound Representations","DMN","0",1,"no_label",40,"Category",39.2936637767015
675,"Compound Representations","DMN","0",1,"label",39,"Category",39.5327025702861
675,"Compound Representations","DMN","0",2,"no_label",39,"Category",36.5541194807638
675,"Compound Representations","DMN","0",2,"label",34,"Category",37.032197067933
675,"Compound Representations","DMN","0",3,"no_label",36,"Category",33.8145751848261
675,"Compound Representations","DMN","0",3,"label",31,"Category",34.53169156558
675,"Compound Representations","DMN","0",4,"no_label",34,"Category",31.0750308888885
675,"Compound Representations","DMN","0",4,"label",29,"Category",32.0311860632269
675,"Compound Representations","DMN","0",5,"no_label",31,"Category",28.3354865929508
675,"Compound Representations","DMN","0",5,"label",27,"Category",29.5306805608739
675,"Compound Representations","DMN","0",6,"no_label",29,"Category",25.5959422970131
675,"Compound Representations","DMN","0",6,"label",25,"Category",27.0301750585208
675,"Compound Representations","DMN","0",7,"no_label",27,"Category",22.8563980010755
675,"Compound Representations","DMN","0",7,"label",23,"Category",24.5296695561678
677,"Labels as Features","DMN","0",0,"label",40,"Category",42.2545941603125
677,"Labels as Features","DMN","0",0,"no_label",40,"Category",41.3313377769986
677,"Labels as Features","DMN","0",1,"label",40,"Category",39.7540886579594
677,"Labels as Features","DMN","0",1,"no_label",40,"Category",38.5917934810609
677,"Labels as Features","DMN","0",2,"label",40,"Category",37.2535831556064
677,"Labels as Features","DMN","0",2,"no_label",40,"Category",35.8522491851233
677,"Labels as Features","DMN","0",3,"label",40,"Category",34.7530776532533
677,"Labels as Features","DMN","0",3,"no_label",37,"Category",33.1127048891856
677,"Labels as Features","DMN","0",4,"label",38,"Category",32.2525721509003
677,"Labels as Features","DMN","0",4,"no_label",34,"Category",30.3731605932479
677,"Labels as Features","DMN","0",5,"label",34,"Category",29.7520666485472
677,"Labels as Features","DMN","0",5,"no_label",30,"Category",27.6336162973103
677,"Labels as Features","DMN","0",6,"label",31,"Category",27.2515611461942
677,"Labels as Features","DMN","0",6,"no_label",27,"Category",24.8940720013726
